Ativo
ABCB4.SA
ALPA3.SA
ALPA4.SA
AMAR3.SA
BBAS3.SA
BBDC3.SA
BBDC4.SA
BDLL4.SA
BEEF3.SA
BEES3.SA
BGIP4.SA
BMEB4.SA
BMIN4.SA
BNBR3.SA
BRAP3.SA
BRAP4.SA
BRFS3.SA
BRKM3.SA
BRKM5.SA
BRML3.SA
BRPR3.SA
BRSR6.SA
CCRO3.SA
CEDO4.SA
CEEB3.SA
CGAS5.SA
CGRA4.SA
CIEL3.SA
CMIG3.SA
CMIG4.SA
COCE3.SA
COCE5.SA
CPFE3.SA
CPLE3.SA
CPLE6.SA
CRDE3.SA
CRIV3.SA
CSAN3.SA
CSMG3.SA
CSNA3.SA
CSRN3.SA
CTKA4.SA
CTNM4.SA
CTSA3.SA
CTSA4.SA
CYRE3.SA
DIRR3.SA
ECOR3.SA
ELET3.SA
ELET6.SA
EMAE4.SA
EMBR3.SA
ENBR3.SA
ENGI4.SA
EQTL3.SA
ETER3.SA
EUCA4.SA
EVEN3.SA
EZTC3.SA
FESA4.SA
FRIO3.SA
GFSA3.SA
GGBR3.SA
GGBR4.SA
GOAU3.SA
GOAU4.SA
GOLL4.SA
GRND3.SA
GUAR3.SA
HBOR3.SA
HBTS5.SA
HYPE3.SA
INEP3.SA
INEP4.SA
ITSA3.SA
ITSA4.SA
ITUB3.SA
ITUB4.SA
JFEN3.SA
JHSF3.SA
KLBN3.SA
KLBN4.SA
LIGT3.SA
LIPR3.SA
LPSB3.SA
LREN3.SA
MGEL4.SA
MILS3.SA
MNDL3.SA
MRFG3.SA
MRVE3.SA
MULT3.SA
MYPK3.SA
ODPV3.SA
PATI3.SA
PDGR3.SA
PEAB4.SA
PETR3.SA
PETR4.SA
PFRM3.SA
PINE4.SA
PMAM3.SA
POMO3.SA
POMO4.SA
POSI3.SA
PSSA3.SA
RANI3.SA
RAPT4.SA
RDNI3.SA
RENT3.SA
ROMI3.SA
RSID3.SA
SANB11.SA
SANB3.SA
SANB4.SA
SHUL4.SA
SLCE3.SA
SMTO3.SA
SOND6.SA
SULA11.SA
TCSA3.SA
TGMA3.SA
TKNO4.SA
TOTS3.SA
TPIS3.SA
TRIS3.SA
TRPL3.SA
TRPL4.SA
TUPY3.SA
USIM5.SA
VALE3.SA
VLID3.SA
VULC3.SA
WEGE3.SA
WHRL4.SA
BEES4.SA
CBEE3.SA
CGAS3.SA
CRIV4.SA
CTKA3.SA
EKTR4.SA
ENGI3.SA
BRSR3.SA
BRSR5.SA
CEDO3.SA
LUXM4.SA
PATI4.SA
SOND5.SA
WHRL3.SA
AFLT3.SA
CSRN6.SA
CTNM3.SA
GEPA4.SA
PEAB3.SA
BMEB3.SA
CASN4.SA
BSLI3.SA
LEVE3.SA
FESA3.SA
MTSA4.SA
BSLI4.SA
MOAR3.SA
BRKM6.SA
MTSA3.SA
EKTR3.SA
GEPA3.SA
CASN3.SA
JOPA4.SA
BGIP3.SA
CSRN5.SA
CEEB5.SA
JOPA3.SA
CEGR3.SA
BALM4.SA
CPLE5.SA
EUCA3.SA
FIGE3.SA
UGPA3.SA
VIVT3.SA
SOND3.SA
FRAS3.SA
RADL3.SA
