Ativo
ALPA4.SA
BBAS3.SA
BBDC3.SA
BBDC4.SA
BEES3.SA
BMEB3.SA
BRAP3.SA
BRAP4.SA
BRSR3.SA
CCRO3.SA
CGRA4.SA
CMIG3.SA
CPFE3.SA
CPLE3.SA
CPLE6.SA
CSAN3.SA
CSNA3.SA
CSRN3.SA
DASA3.SA
ELET3.SA
ELET6.SA
ENBR3.SA
ENGI4.SA
EQTL3.SA
ETER3.SA
EVEN3.SA
EZTC3.SA
FESA3.SA
GFSA3.SA
GGBR3.SA
GGBR4.SA
GOAU3.SA
GOAU4.SA
GRND3.SA
GUAR3.SA
ITSA3.SA
ITSA4.SA
JBSS3.SA
JHSF3.SA
LIGT3.SA
LIPR3.SA
LLIS3.SA
LOGN3.SA
LREN3.SA
MDIA3.SA
MRFG3.SA
MRVE3.SA
ODPV3.SA
PDGR3.SA
PETR3.SA
PETR4.SA
PNVL3.SA
POMO3.SA
POSI3.SA
PSSA3.SA
RENT3.SA
RSID3.SA
SANB4.SA
SBSP3.SA
SMTO3.SA
SULA11.SA
TCSA3.SA
TGMA3.SA
TOTS3.SA
TRPL4.SA
TUPY3.SA
UNIP3.SA
USIM3.SA
USIM5.SA
VALE3.SA
WEGE3.SA
CEDO3.SA
CEGR3.SA
CGRA3.SA
COCE3.SA
CTSA3.SA
ENGI3.SA
MOAR3.SA
BMKS3.SA
BRGE3.SA
CBEE3.SA
CSAB3.SA
TCNO3.SA
ALPA3.SA
EKTR3.SA
FRIO3.SA
PTNT3.SA
RPAD3.SA
JOPA3.SA
WHRL3.SA
SANB3.SA
VULC3.SA
BSLI3.SA
SLED3.SA
CEEB3.SA
TRPL3.SA
KLBN3.SA
CLSC3.SA
PATI3.SA
BALM3.SA
CTKA3.SA
PCAR3.SA
JOPA4.SA
CASN3.SA
BGIP3.SA
ITUB3.SA
BRFS3.SA
